"nationality","birthcity","player_cnt"
"USA","West Islip","2"
"CHE","Zürich","2"
"CAN","Caledonia","2"
"USA","Virginia","2"
"USA","Hastings","2"
"CAN","Kindersley","2"
"USA","Dearborn","2"
"SWE","Orebro","2"
"USA","Rhinelander","2"
"USA","Grosse Pointe","2"
"DEU","Landshut","2"
"CZE","Zlin","2"
"CAN","Kelowna","2"
"USA","Warren","2"
"USA","Boxford","2"
"USA","Roseville","2"
"CAN","New Glasgow","2"
"CAN","Amqui","2"
"USA","White Bear Lake","2"
"RUS","Voskresensk","2"
"CAN","Winchester","2"
"CAN","Spruce Grove","2"
"SWE","Karlskrona","2"
"CAN","Prince Albert","2"
"SWE","Pitea","2"
"USA","Scottsdale","2"
"CAN","St-Hyacinthe","2"
"CAN","Stouffville","2"
"CAN","Swan River","2"
"USA","Massapequa","2"
"CAN","Lemoyne","2"
"USA","Farmington Hills","2"
"SWE","Uppsala","2"
"USA","Waltham","2"
"RUS","Sverdlovsk","2"
"FIN","Raahe","2"
"USA","Flint","2"
"CAN","Keswick","2"
"CAN","Lanigan","2"
"USA","St. Cloud","2"
"USA","East Lansing","2"
"USA","Grosse Pointe Woods","2"
"SWE","Ostersund","2"
"USA","Dorchester","2"
"USA","Braintree","2"
"CAN","Ile Bizard","2"
"SWE","Övertorneå","2"
"CAN","Waterloo","2"
"USA","Utica","2"
"USA","Traverse City","2"
"USA","Bloomfield Hills","2"
"CAN","Melville","2"
"CZE","Pisek","2"
"SWE","Jönköping","2"
"USA","Brockton","2"
"RUS","Omsk","2"
"USA","Omaha","2"
"CAN","Gatineau","2"
"CAN","Elk Point","2"
"CZE","Praha","2"
"RUS","Kazan","2"
"USA","Arlington","2"
"SWE","Landskrona","2"
"USA","Syosset","2"
"USA","Winchester","2"
"CZE","Vlasim","2"
"CAN","Nobleton","2"
"RUS","Nizhny Tagil","2"
"USA","Worcester","2"
"USA","Indianapolis","2"
"AUT","Vienna","2"
"CZE","Pardubice","2"
"NA","NA","2"
"USA","Anaheim","2"
"CAN","Simcoe","2"
"CAN","Carlyle","2"
"USA","Des Moines","2"
"USA","Elk River","2"
"CAN","Maple Ridge","2"
"RUS","Penza","2"
"CAN","Stratford","2"
"USA","Greenwich","2"
"CAN","Thornhill","2"
"USA","Elburn","2"
"CAN","Wapella","2"
"CAN","Brockville","2"
"CAN","Trois-Rivieres","2"
"USA","Park Ridge","2"
"SWE","Lycksele","2"
"SVK","Ilava","2"
"CAN","Campbell River","2"
"USA","New York City","2"
"CAN","Fort McMurray","2"
"USA","Plano","2"
"CAN","Almonte","2"
"USA","Rome","2"
"USA","Everett","2"
"USA","Muskegon","1"
"CAN","Saint-Augustin","1"
"USA","Clawson","1"
"USA","Sun Prairie","1"
"USA","New Canaan","1"
"CAN","Terrace","1"
"USA","Houghton","1"
"CAN","Grande Prairie","1"
"USA","Plymouth","1"
"USA","Bellmawr","1"
"USA","Grand Ledge","1"
"DEU","Mannheim","1"
"FIN","Kalajoki","1"
"CAN","Edmundston","1"
"CAN","Aylesbury","1"
"CAN","Cold Lake","1"
"CAN","Kanata","1"
"CAN","Sarnia","1"
"CAN","Pictou","1"
"CHE","Zuzwil","1"
"USA","Calgary","1"
"CAN","Cap-Rouge","1"
"CAN","Huntington","1"
"CAN","Ardrossan","1"
"SWE","Landsbro","1"
"CAN","Maple Creek","1"
"SWE","Olofstrom","1"
"RUS","Zhukovskiy","1"
"USA","Seoul","1"
"RUS","St. Petersburg","1"
"CAN","Peace River","1"
"USA","Massena","1"
"BHS","Freeport","1"
"CAN","St. Pauls","1"
"CAN","Uxbridge","1"
"CZE","Hodonin","1"
"CAN","Port Hawkesbury","1"
"CAN","Kitimat","1"
"CHE","Ozieri","1"
"CAN","Garden River, First Nations","1"
"SWE","Nynashamn","1"
"SVK","Martin","1"
"FIN","Loviisa","1"
"USA","Potsdam","1"
"SWE","Marsta","1"
"USA","Sewell","1"
"USA","Manalapan","1"
"USA","Golden Valley","1"
"SWE","Munkedal","1"
"USA","Stamford","1"
"CAN","Georgetown","1"
"CAN","Golden","1"
"USA","Oklahoma City","1"
"CAN","Campbellville","1"
"CAN","Wasaga Beach","1"
"RUS","Izhevsk","1"
"SWE","Ljungby","1"
"USA","BELLMAWR","1"
"USA","Chester Springs","1"
"CAN","Kingsville","1"
"CZE","Olomouc","1"
"CZE","Kromeriz","1"
"USA","Walpole","1"
"USA","Edison","1"
"CAN","St. Georges","1"
"FIN","Nousiainen","1"
"USA","Kirtland Hills","1"
"RUS","Elektrostal","1"
"CHE","Fribourg","1"
"CZE","Karlovy Vary","1"
"HRV","Zagreb","1"
