player_cnt,nationality,birthcity,city_ascii,iso3,latitude,longitude
1,RUS,Surgut                                       ,Surgut                             ,RUS,61.2599,73.425
2,USA,Arlington                                    ,Arlington                          ,USA,32.6998,-97.1251
3,CZE,Brno                                         ,Brno                               ,CZE,49.2004,16.61
1,LTU,Kaunas                                       ,Kaunas                             ,LTU,54.9504,23.88
8,CAN,Halifax                                      ,Halifax                            ,CAN,44.65,-63.6
2,USA,Anaheim                                      ,Anaheim                            ,USA,33.839,-117.8573
1,USA,Gilbert                                      ,Gilbert                            ,USA,33.3103,-111.7463
20,CAN,London                                       ,London                             ,CAN,42.97,-81.25
2,USA,Flint                                        ,Flint                              ,USA,43.0235,-83.6922
7,USA,Ann Arbor                                    ,Ann Arbor                          ,USA,42.2755,-83.7312
3,USA,Lansing                                      ,Lansing                            ,USA,42.7142,-84.5601
12,CAN,Windsor                                      ,Windsor                            ,CAN,42.3333,-83.0333
3,RUS,Cherepovets                                  ,Cherepovets                        ,RUS,59.1404,37.91
1,USA,Huntsville                                   ,Huntsville                         ,USA,34.6988,-86.6412
5,USA,St. Paul                                     ,St. Paul                           ,USA,44.9477,-93.104
4,USA,Trenton                                      ,Trenton                            ,USA,40.2236,-74.7641
6,CAN,Victoria                                     ,Victoria                           ,CAN,48.4333,-123.35
2,USA,Plano                                        ,Plano                              ,USA,33.0502,-96.7487
4,USA,Canton                                       ,Canton                             ,USA,40.8076,-81.3678
1,USA,Reading                                      ,Reading                            ,USA,40.34,-75.9267
2,USA,Salem                                        ,Salem                              ,USA,44.9232,-123.0245
5,FIN,Tampere                                      ,Tampere                            ,FIN,61.5,23.75
1,USA,Columbus                                     ,Columbus                           ,USA,32.51,-84.8771
10,USA,Anchorage                                    ,Anchorage                          ,USA,61.1508,-149.1091
3,USA,Concord                                      ,Concord                            ,USA,35.3932,-80.6363
2,USA,Scottsdale                                   ,Scottsdale                         ,USA,33.6872,-111.8651
1,GBR,Plymouth                                     ,Plymouth                           ,GBR,50.3854,-4.16
1,RUS,Orsk                                         ,Orsk                               ,RUS,51.21,58.6273
1,USA,Wilmington                                   ,Wilmington                         ,USA,34.2101,-77.886
5,SVK,Kosice                                       ,Kosice                             ,SVK,48.7304,21.25
4,RUS,Nizhnekamsk                                  ,Nizhnekamsk                        ,RUS,55.6404,51.82
1,USA,York                                         ,York                               ,USA,39.9651,-76.7315
1,USA,Nashua                                       ,Nashua                             ,USA,42.7491,-71.491
2,USA,Arlington                                    ,Arlington                          ,USA,38.8786,-77.1011
1,USA,Kalamazoo                                    ,Kalamazoo                          ,USA,42.2749,-85.5882
1,USA,Tacoma                                       ,Tacoma                             ,USA,47.2431,-122.4531
1,USA,Green Bay                                    ,Green Bay                          ,USA,44.515,-87.9896
1,USA,Fargo                                        ,Fargo                              ,USA,46.8653,-96.8292
20,CAN,Saskatoon                                    ,Saskatoon                          ,CAN,52.17,-106.67
4,CAN,Barrie                                       ,Barrie                             ,CAN,44.3838,-79.7
1,USA,Fort Lauderdale                              ,Fort Lauderdale                    ,USA,26.1412,-80.1464
1,USA,Newport News                                 ,Newport News                       ,USA,37.1051,-76.5185
1,USA,Rancho Cucamonga                             ,Rancho Cucamonga                   ,USA,34.1248,-117.5666
1,RUS,Yuzhno-Sakhalinsk                            ,Yuzhno-Sakhalinsk                  ,RUS,46.965,142.74
